pipeline,run_id,model,domain,root_feature,collection_mode,llm_host,meta_file,fm_xml,num_sources,num_chunks_total,num_evidence_chunks,context_chars,llm_duration_seconds,wellformed_ok,wellformed_error_count,satisfiable,dead_features_count,core_features_count,coverage_score,semantic_precision,semantic_recall,semantic_f1,feature_count,abstract_feature_count,concrete_feature_count,missing_feature_count,extra_feature_count,missing_feature_ratio,extra_feature_ratio,edge_jaccard_to_gt,parent_match_rate,sat_error,coverage_error,feature_extract_error
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-02-06T14-49-48,,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-02-06T14-49-48.meta.json,,14,,,,1539.4083499908447,,,,,,,,,,,,,,,,,,,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T00-00-58,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T00-00-58.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T00-00-58.final.xml,14,,,,6637.009009599686,True,0,True,0,1,55.64,0.7618,0.8077,0.7841,340,76,264,125,335,0.9615,0.9853,0.0064,0.6,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T02-54-26,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T02-54-26.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T02-54-26.final.xml,14,,,,6872.016325473785,True,0,True,0,14,56.79,0.7384,0.8308,0.7819,409,91,318,123,402,0.9462,0.9829,0.0075,0.5714,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T05-56-47,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T05-56-47.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T05-56-47.final.xml,14,,,,7271.863344192505,True,0,True,0,34,55.45,0.7088,0.8231,0.7617,340,62,278,124,334,0.9538,0.9824,0.0086,0.6667,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T09-09-44,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T09-09-44.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T09-09-44.final.xml,14,,,,8414.63407087326,True,0,True,0,1,58.82,0.7488,0.8692,0.8045,410,75,335,123,403,0.9462,0.9829,0.0075,0.5714,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T12-20-25,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T12-20-25.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T12-20-25.final.xml,14,,,,8239.424070596695,True,0,True,0,11,59.86,0.7673,0.8538,0.8083,361,70,291,124,355,0.9538,0.9834,0.0082,0.6667,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T14-42-39,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T14-42-39.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T14-42-39.final.xml,14,,,,6058.792246103287,True,0,True,0,1,56.45,0.7584,0.8154,0.7858,389,86,303,124,383,0.9538,0.9846,0.0058,0.5,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T16-57-31,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T16-57-31.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T16-57-31.final.xml,14,,,,5830.930996179581,True,0,True,0,1,57.55,0.7032,0.8154,0.7552,374,54,320,123,367,0.9462,0.9813,0.006,0.4286,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T19-05-50,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T19-05-50.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T19-05-50.final.xml,14,,,,4895.143452167511,True,0,True,0,1,61.88,0.7553,0.8615,0.8049,380,75,305,121,371,0.9308,0.9763,0.0059,0.3333,,,
is_nonrag,is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28,glm-4.7:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28.final.xml,14,,,,5408.310191631317,True,0,True,0,32,55.74,0.7598,0.8538,0.8041,358,77,281,125,353,0.9615,0.986,0.0062,0.6,,,
